"bin_start_s","bin_end_s","sample_count","mq8_mean_v","mq8_min_v","mq8_max_v","mq8_range_v","mq8_mean_delta_v","slope_v_per_min"
"0","30","46","-0.001118526847826087","-0.00117738","-0.00102369","0.00015368999999999995","",""
"30","60","47","-0.0011668953191489361","-0.001247343","-0.001074273","0.00017307","-4.8368471322849044E-05","-9.6736942645698088E-05"
"60","90","47","-0.0010696706170212767","-0.001190446","-0.000971303","0.00021914299999999999","9.722470212765932E-05","0.00019444940425531864"
"90","120","47","-0.0011373085744680854","-0.001237514","-0.001046433","0.00019108100000000006","-6.7637957446808634E-05","-0.00013527591489361727"
"120","150","47","-0.0011055782553191489","-0.001188182","-0.001035494","0.000152688","3.1730319148936441E-05","6.3460638297872882E-05"
"150","180","46","-0.0011550425434782611","-0.001282016","-0.001080535","0.00020148099999999988","-4.9464288159112172E-05","-9.8928576318224343E-05"
"180","210","47","-0.0011119538085106384","-0.001216469","-0.001002839","0.00021363000000000003","4.3088734967622723E-05","8.6177469935245447E-05"
"210","240","47","-0.0011458609148936171","-0.001274653","-0.0010464","0.00022825299999999988","-3.3907106382978719E-05","-6.7814212765957439E-05"
"240","270","47","-0.0011809025744680852","-0.001313067","-0.001062964","0.000250103","-3.5041659574468155E-05","-7.0083319148936309E-05"
"270","300","47","-0.0011763709361702125","-0.001222446","-0.001146465","7.5981000000000139E-05","4.531638297872783E-06","9.063276595745566E-06"
