"bin_start_s","bin_end_s","sample_count","mq8_mean_v","mq8_min_v","mq8_max_v","mq8_range_v","mq8_mean_delta_v","slope_v_per_min"
"0","30","46","-0.0011532039347826087","-0.001282192","-0.001036869","0.000245323","",""
"30","60","47","-0.0011416761276595742","-0.001240193","-0.001059519","0.00018067399999999981","1.1527807123034532E-05","2.3055614246069063E-05"
"60","90","47","-0.0011166127021276595","-0.001222877","-0.000967651","0.000255226","2.5063425531914691E-05","5.0126851063829383E-05"
"90","120","47","-0.0011582637234042559","-0.001257915","-0.001075606","0.00018230900000000007","-4.1651021276596341E-05","-8.3302042553192682E-05"
"120","150","46","-0.0011014483478260873","-0.001202856","-0.001009979","0.00019287699999999994","5.68153755781686E-05","0.0001136307511563372"
"150","180","47","-0.001116823340425532","-0.001208011","-0.001028246","0.00017976499999999992","-1.5374992599444769E-05","-3.0749985198889537E-05"
"180","210","47","-0.0011418524255319147","-0.001191785","-0.001066804","0.00012498099999999992","-2.5029085106382642E-05","-5.0058170212765284E-05"
"210","240","46","-0.0011121107826086957","-0.0011991","-0.001025653","0.00017344699999999997","2.9741642923219016E-05","5.9483285846438031E-05"
"240","270","47","-0.0011149443404255318","-0.001216095","-0.001033208","0.00018288699999999985","-2.8335578168361703E-06","-5.6671156336723406E-06"
"270","300","47","-0.00116521914893617","-0.001248614","-0.00105622","0.00019239400000000003","-5.0274808510638105E-05","-0.00010054961702127621"
"300","330","47","-0.0011504562978723409","-0.001243179","-0.001083865","0.00015931400000000003","1.4762851063828981E-05","2.9525702127657961E-05"
"330","360","46","-0.001133967347826087","-0.00126884","-0.00104829","0.00022055000000000013","1.6488950046253956E-05","3.2977900092507912E-05"
"360","390","47","-0.001117029063829787","-0.001197654","-0.001033251","0.00016440300000000003","1.693828399629998E-05","3.387656799259996E-05"
"390","420","47","-0.0011579943191489359","-0.001275126","-0.001081883","0.00019324299999999984","-4.0965255319148864E-05","-8.1930510638297729E-05"
"420","450","47","-0.0010899928085106381","-0.001192509","-0.001009524","0.00018298500000000009","6.8001510638297747E-05","0.00013600302127659549"
"450","480","46","-0.0011705160869565215","-0.001331569","-0.001044406","0.000287163","-8.0523278445883417E-05","-0.00016104655689176683"
"480","510","47","-0.0011186744255319151","-0.001202346","-0.001029429","0.00017291699999999986","5.1841661424606444E-05","0.00010368332284921289"
"510","540","46","-0.0011248555434782608","-0.001229146","-0.001045762","0.00018338399999999998","-6.181117946345684E-06","-1.2362235892691368E-05"
"540","570","47","-0.0011394836595744683","-0.001226807","-0.001019892","0.00020691499999999979","-1.4628116096207554E-05","-2.9256232192415108E-05"
"570","600","46","-0.0011308682391304348","-0.001169281","-0.00107689","9.2391000000000044E-05","8.61542044403355E-06","1.72308408880671E-05"
"600","630","47","-0.0011998703617021275","-0.00129099","-0.001115279","0.00017571100000000005","-6.9002122571692678E-05","-0.00013800424514338536"
"630","660","46","-0.0011498982173913045","-0.001259499","-0.001055712","0.00020378699999999998","4.9972144310822964E-05","9.9944288621645928E-05"
"660","690","47","-0.0011462202340425537","-0.001248481","-0.00103042","0.00021806100000000008","3.6779833487508417E-06","7.3559666975016834E-06"
"690","720","46","-0.0010816981739130433","-0.001162807","-0.001010107","0.00015269999999999997","6.4522060129510329E-05","0.00012904412025902066"
"720","750","47","-0.0010871844255319145","-0.001189133","-0.000963601","0.00022553199999999997","-5.486251618871214E-06","-1.0972503237742428E-05"
"750","780","46","-0.0011147454565217389","-0.001238053","-0.001002599","0.00023545399999999996","-2.756103098982437E-05","-5.5122061979648741E-05"
"780","810","46","-0.0011556069782608692","-0.001238434","-0.001055108","0.00018332600000000015","-4.0861521739130307E-05","-8.1723043478260614E-05"
"810","840","47","-0.0011857485957446809","-0.001312711","-0.001000969","0.00031174200000000005","-3.0141617483811717E-05","-6.0283234967623434E-05"
"840","870","46","-0.0011855288695652171","-0.001313374","-0.001118829","0.00019454499999999996","2.197261794638708E-07","4.3945235892774159E-07"
"870","900","47","-0.0011628581702127654","-0.001314814","-0.001030365","0.000284449","2.2670699352451626E-05","4.5341398704903252E-05"
