"bin_start_s","bin_end_s","sample_count","mq8_mean_v","mq8_min_v","mq8_max_v","mq8_range_v","mq8_mean_delta_v","slope_v_per_min"
"0","30","46","-0.0011560401304347824","-0.001278945","-0.001050109","0.00022883600000000006","",""
"30","60","47","-0.0011397662553191492","-0.001297753","-0.001002932","0.000294821","1.6273875115633196E-05","3.2547750231266392E-05"
"60","90","47","-0.001152150914893617","-0.001266703","-0.001068293","0.00019841","-1.2384659574467792E-05","-2.4769319148935584E-05"
"90","120","47","-0.0011170908510638301","-0.001192361","-0.001028941","0.00016342000000000006","3.5060063829786894E-05","7.0120127659573789E-05"
"120","150","47","-0.0011323539999999997","-0.001300299","-0.001022607","0.00027769199999999996","-1.5263148936169556E-05","-3.0526297872339112E-05"
"150","180","46","-0.0011747629782608692","-0.001251206","-0.00104572","0.00020548599999999995","-4.2408978260869519E-05","-8.4817956521739037E-05"
"180","210","47","-0.0011375700212765958","-0.001216797","-0.001041403","0.00017539399999999994","3.7192956984273421E-05","7.4385913968546841E-05"
"210","240","47","-0.0011192401702127658","-0.001242044","-0.001053944","0.00018810000000000007","1.8329851063829958E-05","3.6659702127659916E-05"
"240","270","47","-0.0011641706170212773","-0.001360853","-0.001048364","0.000312489","-4.4930446808511514E-05","-8.9860893617023027E-05"
"270","300","47","-0.0011518732553191492","-0.001269897","-0.000960091","0.00030980600000000004","1.229736170212819E-05","2.4594723404256381E-05"
"300","330","46","-0.0012126086739130432","-0.001306885","-0.001133509","0.00017337600000000004","-6.0735418593894051E-05","-0.0001214708371877881"
"330","360","47","-0.0010866757446808513","-0.001241667","-0.000981277","0.00026038999999999988","0.00012593292923219188","0.00025186585846438377"
"360","390","47","-0.0010906569361702125","-0.001177675","-0.001004135","0.00017354000000000002","-3.9811914893611664E-06","-7.9623829787223328E-06"
"390","420","47","-0.0011115456808510635","-0.001211959","-0.00102376","0.000188199","-2.0888744680850994E-05","-4.1777489361701989E-05"
"420","450","47","-0.0011489057446808506","-0.001255598","-0.001048774","0.00020682399999999998","-3.7360063829787113E-05","-7.4720127659574226E-05"
"450","480","46","-0.0011171094347826086","-0.001255598","-0.001009385","0.0002462129999999999","3.1796309898242E-05","6.3592619796484E-05"
"480","510","47","-0.001139546595744681","-0.001314165","-0.000976621","0.00033754399999999995","-2.2437160962072381E-05","-4.4874321924144762E-05"
"510","540","47","-0.0011240661702127661","-0.001203386","-0.001007198","0.00019618800000000013","1.5480425531914834E-05","3.0960851063829668E-05"
"540","570","47","-0.0011668937446808513","-0.001353705","-0.001027556","0.00032614899999999997","-4.2827574468085137E-05","-8.5655148936170274E-05"
"570","600","46","-0.0011494581521739131","-0.001255575","-0.001082676","0.000172899","1.7435592506938151E-05","3.48711850138763E-05"
"600","630","47","-0.001160886872340425","-0.001208749","-0.001097311","0.00011143800000000016","-1.1428720166511887E-05","-2.2857440333023775E-05"
"630","660","47","-0.001134928680851064","-0.001239861","-0.001062972","0.00017688900000000017","2.5958191489361014E-05","5.1916382978722028E-05"
"660","690","47","-0.0011381413617021275","-0.00120784","-0.001056682","0.00015115799999999998","-3.2126808510635121E-06","-6.4253617021270241E-06"
"690","720","46","-0.0011741101739130434","-0.001299183","-0.001084534","0.00021464899999999992","-3.5968812210915866E-05","-7.1937624421831731E-05"
"720","750","47","-0.0011482124042553187","-0.001257855","-0.001012096","0.00024575899999999991","2.5897769657724692E-05","5.1795539315449383E-05"
"750","780","47","-0.0011624195744680853","-0.001308562","-0.001009094","0.000299468","-1.4207170212766646E-05","-2.8414340425533292E-05"
"780","810","47","-0.0011554372553191489","-0.001266541","-0.001082017","0.00018452399999999993","6.98231914893644E-06","1.3964638297872881E-05"
"810","840","47","-0.0011625552340425536","-0.001254628","-0.001073742","0.00018088600000000011","-7.1179787234046821E-06","-1.4235957446809364E-05"
"840","870","47","-0.0011697193191489363","-0.001253035","-0.001067504","0.00018553100000000006","-7.1640851063827036E-06","-1.4328170212765407E-05"
"870","900","47","-0.0011055239999999999","-0.00120995","-0.001003329","0.00020662099999999993","6.4195319148936409E-05","0.00012839063829787282"
