"bin_start_s","bin_end_s","sample_count","mq8_mean_v","mq8_min_v","mq8_max_v","mq8_range_v","mq8_mean_delta_v","slope_v_per_min"
"0","30","46","-0.0010785348260869568","-0.001173864","-0.001012552","0.00016131200000000004","",""
"30","60","47","-0.0011236495319148934","-0.001216442","-0.001061774","0.00015466800000000017","-4.5114705827936641E-05","-9.0229411655873282E-05"
"60","90","46","-0.0011170185434782607","-0.001216442","-0.001062244","0.00015419800000000014","6.6309884366327638E-06","1.3261976873265528E-05"
"90","120","47","-0.0011071016382978725","-0.00118635","-0.001039536","0.0001468140000000001","9.9169051803881143E-06","1.9833810360776229E-05"
"120","150","47","-0.0011125147872340427","-0.0011935","-0.001060777","0.00013272299999999996","-5.4131489361701566E-06","-1.0826297872340313E-05"
"150","180","46","-0.0011395835434782607","-0.001183313","-0.001062245","0.000121068","-2.7068756244217956E-05","-5.4137512488435912E-05"
"180","210","47","-0.0011014235744680849","-0.001175821","-0.001030344","0.00014547699999999998","3.8159969010175768E-05","7.6319938020351537E-05"
"210","240","47","-0.0011270253404255318","-0.001219391","-0.001057855","0.0001615360000000001","-2.560176595744687E-05","-5.1203531914893741E-05"
"240","270","47","-0.0010827840638297876","-0.001221024","-0.000998543","0.00022248100000000007","4.4241276595744124E-05","8.8482553191488247E-05"
"270","300","47","-0.001096560255319149","-0.001152714","-0.001038607","0.00011410700000000001","-1.3776191489361326E-05","-2.7552382978722652E-05"
"300","330","47","-0.0011253101489361705","-0.001201984","-0.001074578","0.00012740599999999983","-2.8749893617021531E-05","-5.7499787234043063E-05"
"330","360","47","-0.001114657914893617","-0.001199015","-0.001056244","0.00014277100000000009","1.065223404255345E-05","2.13044680851069E-05"
"360","390","46","-0.0010679172826086956","-0.001099054","-0.000996098","0.00010295599999999997","4.6740632284921445E-05","9.348126456984289E-05"
"390","420","47","-0.0010976632978723403","-0.001177374","-0.00098891","0.00018846399999999995","-2.9746015263644714E-05","-5.9492030527289429E-05"
"420","450","47","-0.0010981470212765958","-0.001150402","-0.001034543","0.00011585900000000006","-4.8372340425545911E-07","-9.6744680851091822E-07"
"450","480","47","-0.0011244431063829781","-0.001207017","-0.001065029","0.00014198799999999979","-2.6296085106382316E-05","-5.2592170212764633E-05"
"480","510","47","-0.0011264777021276597","-0.001169324","-0.001080846","8.8477999999999907E-05","-2.0345957446816013E-06","-4.0691914893632025E-06"
"510","540","47","-0.0010982599148936171","-0.001189347","-0.000993827","0.00019552000000000003","2.821778723404258E-05","5.643557446808516E-05"
"540","570","47","-0.001111164765957447","-0.001141906","-0.001082124","5.9781999999999978E-05","-1.2904851063829867E-05","-2.5809702127659734E-05"
"570","600","47","-0.0010944451702127659","-0.00119727","-0.001014572","0.00018269800000000002","1.6719595744681126E-05","3.3439191489362252E-05"
"600","630","46","-0.0011112056521739128","-0.001192225","-0.001066839","0.00012538600000000012","-1.6760481961146986E-05","-3.3520963922293971E-05"
"630","660","47","-0.0011270376170212767","-0.001192242","-0.001067813","0.00012442900000000012","-1.5831964847363902E-05","-3.1663929694727803E-05"
"660","690","47","-0.0011007449574468079","-0.00120361","-0.000973539","0.00023007099999999988","2.6292659574468852E-05","5.2585319148937704E-05"
"690","720","46","-0.0011116357173913041","-0.001197095","-0.001042466","0.00015462900000000009","-1.0890759944496165E-05","-2.178151988899233E-05"
"720","750","47","-0.0011046491914893622","-0.001162172","-0.001024251","0.00013792100000000005","6.9865259019418445E-06","1.3973051803883689E-05"
"750","780","46","-0.0010760481086956521","-0.001123996","-0.001047957","7.6038999999999968E-05","2.86010827937101E-05","5.72021655874202E-05"
"780","810","47","-0.0010976395744680845","-0.001153649","-0.001034942","0.00011870700000000001","-2.15914657724324E-05","-4.31829315448648E-05"
"810","840","47","-0.0011035563829787239","-0.001233924","-0.001010434","0.00022349000000000002","-5.9168085106394222E-06","-1.1833617021278844E-05"
"840","870","47","-0.0011179329574468081","-0.001265108","-0.001010434","0.00025467400000000009","-1.4376574468084186E-05","-2.8753148936168371E-05"
"870","900","46","-0.0010764718478260863","-0.001170352","-0.000986432","0.00018391999999999996","4.14611096207218E-05","8.29222192414436E-05"
"900","930","1","-0.00121506","-0.00121506","-0.00121506","0","-0.0001385881521739137","-0.00027717630434782745"
