"bin_start_s","bin_end_s","sample_count","mq8_mean_v","mq8_min_v","mq8_max_v","mq8_range_v","mq8_mean_delta_v","slope_v_per_min"
"0","30","46","-0.0010769661086956518","-0.001184412","-0.001016216","0.00016819600000000001","",""
"30","60","47","-0.001084763361702128","-0.001200126","-0.001017794","0.00018233199999999989","-7.7972530064761552E-06","-1.559450601295231E-05"
"60","90","47","-0.0011311354893617019","-0.001210846","-0.00104319","0.00016765599999999997","-4.6372127659573921E-05","-9.2744255319147841E-05"
"90","120","47","-0.0011396558085106385","-0.001272354","-0.001013466","0.00025888800000000009","-8.5203191489365872E-06","-1.7040638297873174E-05"
"120","150","47","-0.0011085387659574468","-0.001179","-0.001038132","0.00014086799999999994","3.111704255319165E-05","6.22340851063833E-05"
"150","180","47","-0.0010652913617021278","-0.001119645","-0.000974189","0.00014545600000000008","4.3247404255319054E-05","8.6494808510638108E-05"
"180","210","47","-0.0010991909787234045","-0.001195117","-0.001023222","0.00017189500000000003","-3.3899617021276732E-05","-6.7799234042553464E-05"
"210","240","47","-0.0010839407234042558","-0.001161097","-0.001025373","0.00013572400000000004","1.5250255319148708E-05","3.0500510638297416E-05"
"240","270","47","-0.0011008992127659576","-0.001186131","-0.001011559","0.000174572","-1.6958489361701846E-05","-3.3916978723403692E-05"
"270","300","47","-0.001091401234042553","-0.001148797","-0.001031738","0.00011705900000000009","9.4979787234046424E-06","1.8995957446809285E-05"
"300","330","47","-0.0011006647446808514","-0.001180056","-0.001019433","0.00016062300000000015","-9.2635106382983785E-06","-1.8527021276596757E-05"
"330","360","47","-0.0010685961063829786","-0.001127267","-0.000998398","0.000128869","3.2068638297872787E-05","6.4137276595745574E-05"
"360","390","47","-0.0010718810425531914","-0.001142585","-0.000998398","0.00014418700000000005","-3.2849361702128477E-06","-6.5698723404256955E-06"
"390","420","47","-0.0010889394468085105","-0.001187476","-0.001029657","0.00015781900000000001","-1.7058404255319024E-05","-3.4116808510638048E-05"
"420","450","47","-0.0010607381702127663","-0.001116033","-0.000990824","0.00012520900000000004","2.8201276595744189E-05","5.6402553191488378E-05"
"450","480","47","-0.0010629413404255324","-0.001131864","-0.00097787","0.00015399399999999996","-2.2031702127660747E-06","-4.4063404255321494E-06"
"480","510","47","-0.0010582834893617015","-0.001144914","-0.000988472","0.00015644199999999991","4.6578510638308791E-06","9.3157021276617583E-06"
"510","540","47","-0.0010804780851063833","-0.001225085","-0.001027534","0.00019755100000000002","-2.2194595744681788E-05","-4.4389191489363575E-05"
"540","570","47","-0.0011001461914893623","-0.001203883","-0.000951616","0.00025226700000000003","-1.9668106382979061E-05","-3.9336212765958122E-05"
"570","600","47","-0.0010990725744680853","-0.00119412","-0.001034927","0.00015919299999999996","1.0736170212770433E-06","2.1472340425540866E-06"
"600","630","47","-0.0010973058723404254","-0.001176452","-0.000963279","0.00021317299999999988","1.7667021276598829E-06","3.5334042553197657E-06"
"630","660","46","-0.0011167432391304352","-0.001217443","-0.001023717","0.00019372599999999997","-1.9437366790009793E-05","-3.8874733580019586E-05"
"660","690","47","-0.0011145640638297876","-0.001267486","-0.001039195","0.00022829100000000004","2.1791753006476355E-06","4.3583506012952709E-06"
"690","720","48","-0.0011093413333333336","-0.001199898","-0.001018432","0.00018146599999999992","5.2227304964539475E-06","1.0445460992907895E-05"
"720","750","47","-0.0010366003829787233","-0.001097256","-0.000969435","0.00012782099999999997","7.2740950354610286E-05","0.00014548190070922057"
"750","780","47","-0.0010760661702127656","-0.00120771","-0.001014409","0.00019330100000000011","-3.9465787234042307E-05","-7.8931574468084614E-05"
"780","810","47","-0.0011144383617021282","-0.001273519","-0.000986919","0.00028660000000000014","-3.837219148936262E-05","-7.674438297872524E-05"
"810","840","47","-0.0011176788936170213","-0.001204713","-0.001007742","0.000196971","-3.2405319148930481E-06","-6.4810638297860962E-06"
"840","870","47","-0.0010998862553191484","-0.001182008","-0.001044694","0.00013731399999999993","1.7792638297872872E-05","3.5585276595745743E-05"
"870","900","47","-0.0010879493191489364","-0.001184154","-0.000996716","0.00018743800000000006","1.1936936170212032E-05","2.3873872340424065E-05"
"900","930","1","-0.001022734","-0.001022734","-0.001022734","0","6.5215319148936423E-05","0.00013043063829787285"
