"bin_start_s","bin_end_s","sample_count","mq8_mean_v","mq8_min_v","mq8_max_v","mq8_range_v","mq8_mean_delta_v","slope_v_per_min"
"0","30","46","-0.0010954871521739128","-0.001166822","-0.001021154","0.00014566800000000006","",""
"30","60","47","-0.0011655062765957448","-0.001313031","-0.001039831","0.00027320000000000014","-7.0019124421831936E-05","-0.00014003824884366387"
"60","90","47","-0.0011527256170212764","-0.001225789","-0.001075693","0.00015009599999999995","1.2780659574468389E-05","2.5561319148936779E-05"
"90","120","47","-0.0011638685957446808","-0.001253838","-0.001076986","0.00017685199999999991","-1.1142978723404414E-05","-2.2285957446808828E-05"
"120","150","47","-0.001137275404255319","-0.001216879","-0.001008892","0.00020798699999999997","2.6593191489361796E-05","5.3186382978723593E-05"
"150","180","47","-0.0011130780638297874","-0.001163805","-0.001045639","0.00011816600000000006","2.4197340425531622E-05","4.8394680851063243E-05"
"180","210","46","-0.0011845699782608696","-0.001246426","-0.00111696","0.00012946599999999996","-7.14919144310822E-05","-0.00014298382886216441"
"210","240","47","-0.0011636138936170213","-0.001373617","-0.001039003","0.000334614","2.095608464384828E-05","4.191216928769656E-05"
"240","270","47","-0.0011305658510638303","-0.001187125","-0.001074976","0.00011214899999999997","3.3048042553190937E-05","6.6096085106381874E-05"
"270","300","47","-0.0011337240638297874","-0.001214709","-0.00105097","0.00016373899999999999","-3.1582127659570466E-06","-6.3164255319140931E-06"
"300","330","47","-0.0011500956808510637","-0.001259919","-0.001025676","0.00023424299999999986","-1.6371617021276354E-05","-3.2743234042552707E-05"
"330","360","46","-0.0011607556086956523","-0.001296024","-0.001035185","0.00026083899999999991","-1.065992784458859E-05","-2.1319855689177179E-05"
"360","390","47","-0.0011487319361702124","-0.001257135","-0.001031216","0.000225919","1.2023672525439963E-05","2.4047345050879926E-05"
"390","420","47","-0.0012602995957446813","-0.001364211","-0.001178124","0.00018608699999999993","-0.00011156765957446896","-0.00022313531914893792"
"420","450","46","-0.0011536710217391307","-0.001259634","-0.001030716","0.00022891799999999983","0.00010662857400555066","0.00021325714801110132"
"450","480","47","-0.0011202799148936171","-0.001211275","-0.001002507","0.00020876800000000002","3.3391106845513576E-05","6.6782213691027152E-05"
"480","510","46","-0.0012100640869565226","-0.001303788","-0.001119542","0.00018424599999999989","-8.9784172062905461E-05","-0.00017956834412581092"
"510","540","47","-0.0011313757021276596","-0.001248021","-0.00105928","0.00018874100000000008","7.8688384828862938E-05","0.00015737676965772588"
"540","570","46","-0.0011567437608695648","-0.001284089","-0.001063085","0.00022100399999999991","-2.5368058741905225E-05","-5.0736117483810451E-05"
"570","600","47","-0.0011765243829787236","-0.001328637","-0.001083499","0.000245138","-1.9780622109158734E-05","-3.9561244218317467E-05"
"600","630","46","-0.0011728675217391304","-0.001322495","-0.00102315","0.00029934499999999991","3.6568612395931985E-06","7.3137224791863971E-06"
"630","660","47","-0.0011608794893617021","-0.001266608","-0.001023518","0.00024309000000000006","1.1988032377428315E-05","2.397606475485663E-05"
"660","690","47","-0.0011162879787234041","-0.001190758","-0.001064953","0.0001258050000000001","4.4591510638298E-05","8.9183021276596E-05"
"690","720","46","-0.0010994959130434785","-0.001150483","-0.00104082","0.00010966300000000008","1.679206567992554E-05","3.3584131359851079E-05"
"720","750","47","-0.0011509524042553193","-0.001228703","-0.001079185","0.00014951799999999996","-5.1456491211840805E-05","-0.00010291298242368161"
"750","780","47","-0.0011101611702127661","-0.001202449","-0.001003588","0.00019886100000000005","4.0791234042553224E-05","8.1582468085106448E-05"
"780","810","46","-0.0011934829130434781","-0.001298307","-0.001104749","0.00019355800000000014","-8.3321742830712E-05","-0.000166643485661424"
"810","840","47","-0.0011258458510638302","-0.001251024","-0.000966384","0.00028464000000000007","6.7637061979647925E-05","0.00013527412395929585"
"840","870","46","-0.0011244845652173912","-0.001249911","-0.001017918","0.000231993","1.3612858464390372E-06","2.7225716928780744E-06"
"870","900","47","-0.0011114534680851068","-0.001252383","-0.000948084","0.00030429899999999995","1.3031097132284357E-05","2.6062194264568714E-05"
"900","930","47","-0.0010990313617021273","-0.001183629","-0.001019841","0.000163788","1.2422106382979463E-05","2.4844212765958926E-05"
"930","960","46","-0.0011355595","-0.001262061","-0.001036056","0.00022600500000000004","-3.6528138297872584E-05","-7.3056276595745168E-05"
"960","990","47","-0.0011035515531914889","-0.001219762","-0.000978394","0.00024136800000000005","3.2007946808511063E-05","6.4015893617022125E-05"
"990","1020","47","-0.0011651862978723402","-0.001282389","-0.001086601","0.00019578800000000013","-6.1634744680851353E-05","-0.00012326948936170271"
"1020","1050","46","-0.0011996396739130438","-0.001275997","-0.001091016","0.00018498100000000008","-3.4453376040703611E-05","-6.8906752081407223E-05"
"1050","1080","47","-0.0011644707234042553","-0.001280362","-0.001043526","0.00023683600000000003","3.5168950508788566E-05","7.0337901017577132E-05"
"1080","1110","46","-0.0011682939565217387","-0.001296828","-0.001039902","0.000256926","-3.8232331174834541E-06","-7.6464662349669081E-06"
"1110","1140","47","-0.0011417527872340429","-0.001305921","-0.000963596","0.000342325","2.6541169287695775E-05","5.308233857539155E-05"
"1140","1170","46","-0.0011469018043478261","-0.00137049","-0.001000902","0.00036958800000000012","-5.1490171137831293E-06","-1.0298034227566259E-05"
"1170","1200","47","-0.0011182282765957452","-0.001200836","-0.001053729","0.00014710700000000005","2.8673527752080862E-05","5.7347055504161724E-05"
"1200","1230","47","-0.0011655451063829784","-0.001237183","-0.001105443","0.00013173999999999998","-4.7316829787233221E-05","-9.4633659574466442E-05"
"1230","1260","46","-0.0011535324347826089","-0.0012886","-0.000991146","0.00029745399999999995","1.2012671600369548E-05","2.4025343200739097E-05"
"1260","1290","47","-0.0011972470851063827","-0.001299094","-0.001107061","0.00019203300000000009","-4.3714650323773818E-05","-8.7429300647547635E-05"
"1290","1320","46","-0.0011230533260869566","-0.001193062","-0.001053973","0.000139089","7.4193759019426046E-05","0.00014838751803885209"
"1320","1350","47","-0.0011164763829787235","-0.001256746","-0.001016916","0.0002398299999999999","6.57694310823311E-06","1.315388621646622E-05"
"1350","1380","47","-0.0012022820212765953","-0.001314173","-0.001038664","0.00027550900000000017","-8.58056382978718E-05","-0.0001716112765957436"
"1380","1410","46","-0.0011979650434782608","-0.001290016","-0.001069455","0.00022056099999999998","4.3169777983345734E-06","8.6339555966691468E-06"
"1410","1440","47","-0.0011574556382978724","-0.00130347","-0.00102267","0.00028079999999999989","4.0509405180388361E-05","8.1018810360776721E-05"
"1440","1470","46","-0.0011300761304347826","-0.001236374","-0.001015651","0.00022072299999999993","2.7379507863089809E-05","5.4759015726179618E-05"
"1470","1500","47","-0.0011121407446808508","-0.001241424","-0.001020052","0.00022137200000000006","1.7935385753931792E-05","3.5870771507863584E-05"
"1500","1530","46","-0.0010938124347826086","-0.001207845","-0.000999973","0.000207872","1.8328309898242232E-05","3.6656619796484463E-05"
"1530","1560","47","-0.0011623851702127663","-0.001285334","-0.001035567","0.00024976699999999991","-6.8572735430157778E-05","-0.00013714547086031556"
"1560","1590","46","-0.0011405576521739136","-0.00130762","-0.001055472","0.000252148","2.1827518038852788E-05","4.3655036077705576E-05"
"1590","1620","47","-0.0011216762127659572","-0.001267698","-0.000969384","0.00029831400000000004","1.8881439407956307E-05","3.7762878815912615E-05"
"1620","1650","46","-0.0011403188695652169","-0.001312669","-0.001004306","0.00030836300000000008","-1.8642656799259649E-05","-3.72853135985193E-05"
"1650","1680","47","-0.0011302716170212763","-0.00124449","-0.001025433","0.00021905699999999993","1.0047252543940628E-05","2.0094505087881256E-05"
"1680","1710","47","-0.0011069542978723408","-0.001249475","-0.00097303","0.00027644500000000005","2.331731914893549E-05","4.663463829787098E-05"
"1710","1740","46","-0.0011620723043478261","-0.001297642","-0.001072327","0.0002253149999999998","-5.5118006475485346E-05","-0.00011023601295097069"
"1740","1770","47","-0.00114281829787234","-0.001270174","-0.001033856","0.0002363179999999999","1.9254006475486179E-05","3.8508012950972358E-05"
"1770","1800","46","-0.0011864253043478259","-0.001356949","-0.001079223","0.00027772600000000006","-4.3607006475485923E-05","-8.7214012950971847E-05"
"1800","1830","47","-0.0010905436808510639","-0.001213427","-0.000994778","0.000218649","9.588162349676195E-05","0.0001917632469935239"
"1830","1860","46","-0.0011279652391304345","-0.001241859","-0.001021268","0.00022059100000000002","-3.7421558279370588E-05","-7.4843116558741176E-05"
"1860","1890","47","-0.0010966069361702127","-0.001193224","-0.001029884","0.0001633400000000001","3.135830296022179E-05","6.2716605920443581E-05"
"1890","1920","46","-0.0010679390217391304","-0.001140103","-0.000994399","0.00014570399999999997","2.8667914431082303E-05","5.7335828862164605E-05"
"1920","1950","47","-0.0011288871276595746","-0.001270725","-0.001014868","0.00025585699999999996","-6.0948105920444196E-05","-0.00012189621184088839"
"1950","1980","47","-0.0011845175319148936","-0.001292225","-0.001068859","0.00022336600000000002","-5.5630404255318979E-05","-0.00011126080851063796"
"1980","2010","46","-0.0011706631521739132","-0.001325793","-0.001015549","0.0003102440000000001","1.3854379740980407E-05","2.7708759481960814E-05"
"2010","2040","47","-0.0011109257659574466","-0.001211201","-0.001031413","0.00017978800000000017","5.9737386216466605E-05","0.00011947477243293321"
"2040","2070","46","-0.0011270806521739133","-0.001218628","-0.00105331","0.00016531800000000002","-1.6154886216466742E-05","-3.2309772432933485E-05"
"2070","2100","47","-0.001037722","-0.00127089","-0.000956741","0.000314149","8.9358652173913283E-05","0.00017871730434782657"
"2100","2130","47","-0.0012013137446808507","-0.001319044","-0.001074199","0.00024484499999999983","-0.00016359174468085066","-0.00032718348936170132"
"2130","2160","46","-0.0011522190652173913","-0.001317237","-0.000996072","0.000321165","4.9094679463459415E-05","9.8189358926918831E-05"
"2160","2190","47","-0.0011051532765957448","-0.001206996","-0.001035616","0.00017137999999999984","4.70657886216465E-05","9.4131577243293E-05"
"2190","2220","46","-0.0011157743260869562","-0.001180135","-0.001020846","0.00015928899999999996","-1.0621049491211414E-05","-2.1242098982422828E-05"
"2220","2250","47","-0.0011089438297872338","-0.001197441","-0.001046994","0.00015044699999999995","6.8304962997224432E-06","1.3660992599444886E-05"
"2250","2280","46","-0.0011016044130434785","-0.00116066","-0.001031668","0.00012899200000000008","7.33941674375526E-06","1.467883348751052E-05"
"2280","2310","47","-0.0011242091063829783","-0.001197696","-0.001051595","0.00014610100000000004","-2.2604693339499816E-05","-4.5209386678999632E-05"
"2310","2340","47","-0.001127991021276596","-0.001188654","-0.001060567","0.00012808699999999982","-3.7819148936176893E-06","-7.5638297872353787E-06"
"2340","2370","47","-0.0011088955531914891","-0.001183984","-0.000976193","0.00020779099999999992","1.9095468085106922E-05","3.8190936170213845E-05"
"2370","2400","46","-0.0011351447391304348","-0.001250751","-0.00102829","0.00022246099999999997","-2.6249185938945771E-05","-5.2498371877891543E-05"
"2400","2430","1","-0.001086515","-0.001086515","-0.001086515","0","4.8629739130434928E-05","9.7259478260869857E-05"
