"Phase","Role","DutyPct","DurationMinutes","Samples","StartMq8Mv","EndMq8Mv","Status","Range5mMv","RangeLimitMv","Trend1mMvPerMin","TrendLimitMvPerMin","StableHoldSec","TelemetryLossStreak","PhaseCsv"
"BASELINE_100","BASELINE","100","0.139","11","-0.93128","-0.943726","Stabil","0.0436930000000001","0.2","-0.0989602901361557","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_01_BASELINE_100_100pct.csv"
"TEST_95","TEST","95","0.129","11","-0.927323","-0.936138","Stabil","0.0360510000000001","0.2","-0.0773408369006778","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_02_TEST_95_95pct.csv"
"RECOVERY_100_AFTER_95","RECOVERY","100","0.348","30","-0.926196","-0.945928","Stabil","0.0761449999999999","0.2","-0.0590619170453045","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_03_RECOVERY_100_AFTER_95_100pct.csv"
"TEST_90","TEST","90","0.095","8","-0.958467","-0.963744","Stabil","0.032247","0.2","-0.0663187296748091","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_04_TEST_90_90pct.csv"
"RECOVERY_100_AFTER_90","RECOVERY","100","0.139","12","-0.935743","-0.931621","Stabil","0.063228","0.2","0.0328459920598543","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_05_RECOVERY_100_AFTER_90_100pct.csv"
"TEST_85","TEST","85","0.217","19","-0.953656","-0.971182","Stabil","0.0824810000000001","0.2","-0.0850740391136222","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_06_TEST_85_85pct.csv"
"RECOVERY_100_AFTER_85","RECOVERY","100","0.083","7","-1.034099","-1.031168","Stabil","0.046356","0.2","0.042897909147709","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_07_RECOVERY_100_AFTER_85_100pct.csv"
"TEST_80","TEST","80","0.129","11","-1.008787","-1.017896","Stabil","0.0534139999999999","0.2","-0.0795404855308184","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_08_TEST_80_80pct.csv"
"RECOVERY_100_AFTER_80","RECOVERY","100","0.279","24","-0.958755","-0.94036","Stabil","0.091058","0.2","0.0693346948740084","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_09_RECOVERY_100_AFTER_80_100pct.csv"
"TEST_75","TEST","75","1.168","101","-0.949347","-1.021837","Stabil","0.183869","0.2","0.0619259330600655","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_10_TEST_75_75pct.csv"
"RECOVERY_100_AFTER_75","RECOVERY","100","0.43","37","-1.043989","-1.011804","Stabil","0.150258","0.2","0.0773608817712757","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_11_RECOVERY_100_AFTER_75_100pct.csv"
"TEST_70","TEST","70","0.083","7","-1.036118","-1.033398","Stabil","0.0421470000000002","0.2","0.0393236780370945","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_12_TEST_70_70pct.csv"
"RECOVERY_100_AFTER_70","RECOVERY","100","0.188","16","-1.051437","-1.067571","Stabil","0.115403","0.2","-0.092614334943277","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_13_RECOVERY_100_AFTER_70_100pct.csv"
"TEST_65","TEST","65","0.911","77","-1.156023","-1.102413","Stabil","0.194441","0.2","0.0597687062555888","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_14_TEST_65_65pct.csv"
"RECOVERY_100_AFTER_65","RECOVERY","100","1.463","123","-1.097735","-0.935266","Stabil","0.155422","0.2","-0.0143112892245077","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_15_RECOVERY_100_AFTER_65_100pct.csv"
"TEST_60","TEST","60","1.458","122","-0.936925","-1.082269","Stabil","0.147613","0.2","-0.0102024931217959","0.1","0","0","D:\Github\PertaminaGLD\apps\operator-hub\output\mq8-duty-cycle\hot-sweep\MQ8_RECOVERY_20260804_131000_16_TEST_60_60pct.csv"
