ref,value,sheet,pin,pin_name,pcb_net,schematic_labels
D13,SS54_C22452,Sheet_1,1,A,D13_1,
D13,SS54_C22452,Sheet_1,2,K,+24V,+24V
C8,22nF,Sheet_1,1,1,GND,GND
C8,22nF,Sheet_1,2,2,C8_2,
R6,82kΩ,Sheet_1,2,2,GND,GND
R6,82kΩ,Sheet_1,1,1,R6_1,
C7,47nF,Sheet_1,1,1,GND,GND
C7,47nF,Sheet_1,2,2,C7_2,
R3,187kΩ,Sheet_1,2,2,D13_1,
R3,187kΩ,Sheet_1,1,1,R3_1,
D12,SK36_C266330,Sheet_1,2,2,D12_2,
D12,SK36_C266330,Sheet_1,1,1,D13_1,
L5,10uH,Sheet_1,2,2,D12_2,
L5,10uH,Sheet_1,1,1,VBAT,VBAT
U1,TPS61175PWP,Sheet_1,1,SW,D12_2,
U1,TPS61175PWP,Sheet_1,2,SW,D12_2,
U1,TPS61175PWP,Sheet_1,3,VIN,VBAT,VBAT
U1,TPS61175PWP,Sheet_1,4,EN,U1_4,
U1,TPS61175PWP,Sheet_1,5,SS,C7_2,
U1,TPS61175PWP,Sheet_1,6,SYNC,GND,GND
U1,TPS61175PWP,Sheet_1,7,AGND,GND,GND
U1,TPS61175PWP,Sheet_1,8,COMP,U1_8,
U1,TPS61175PWP,Sheet_1,9,FB,R3_1,
U1,TPS61175PWP,Sheet_1,10,FREQ,R6_1,
U1,TPS61175PWP,Sheet_1,11,NC,,
U1,TPS61175PWP,Sheet_1,12,PGND,GND,GND
U1,TPS61175PWP,Sheet_1,13,PGND,GND,GND
U1,TPS61175PWP,Sheet_1,14,PGND,GND,GND
U1,TPS61175PWP,Sheet_1,15,EPAD,GND,GND
D11,LESD5D5.0CT1G_C5199850,Sheet_1,1,1,GND,GND
D11,LESD5D5.0CT1G_C5199850,Sheet_1,2,2,VBUS,VBUS
D10,BAT54C,Sheet_1,1,A1,5VEXT,5VEXT
D10,BAT54C,Sheet_1,3,K,D10_3,
D10,BAT54C,Sheet_1,2,A2,VBUS,VBUS
Q2,AO4407_C5155210,Sheet_1,1,S,Q2_1,
Q2,AO4407_C5155210,Sheet_1,2,S,Q2_1,
Q2,AO4407_C5155210,Sheet_1,3,S,Q2_1,
Q2,AO4407_C5155210,Sheet_1,4,G,Q2_4,
Q2,AO4407_C5155210,Sheet_1,5,D,VBAT_IN,VBAT_IN
Q2,AO4407_C5155210,Sheet_1,6,D,VBAT_IN,VBAT_IN
Q2,AO4407_C5155210,Sheet_1,7,D,VBAT_IN,VBAT_IN
Q2,AO4407_C5155210,Sheet_1,8,D,VBAT_IN,VBAT_IN
F2,MINISMDC260F/16,Sheet_1,2,2,Q2_1,
F2,MINISMDC260F/16,Sheet_1,1,1,F2_1,
C4,10uF,Sheet_1,1,1,GND,GND
C4,10uF,Sheet_1,2,2,+24V,+24V
L4,100Ω,Sheet_1,2,2,+24V,+24V
L4,100Ω,Sheet_1,1,1,L4_1,
C3,100nF,Sheet_1,2,2,+24V,+24V
C3,100nF,Sheet_1,1,1,GND,GND
C2,100nF,Sheet_1,2,2,L4_1,
C2,100nF,Sheet_1,1,1,GND,GND
C1,1uF,Sheet_1,1,1,GND,GND
C1,1uF,Sheet_1,2,2,L4_1,
L1,300Ω,Sheet_1,1,1,L1_1,
L1,300Ω,Sheet_1,2,2,24V-,24V-
L1,300Ω,Sheet_1,3,3,GND,GND
L1,300Ω,Sheet_1,4,4,L4_1,
U45,E22-900MM22S,Sheet_1,1,VCC,VCC,VCC
U45,E22-900MM22S,Sheet_1,2,GND,GND,GND
U45,E22-900MM22S,Sheet_1,3,NRST,LORA_RST,LORA_RST
U45,E22-900MM22S,Sheet_1,4,NC,,
U45,E22-900MM22S,Sheet_1,5,NC,,
U45,E22-900MM22S,Sheet_1,6,ANT,ANT,ANT
U45,E22-900MM22S,Sheet_1,7,GND,GND,GND
U45,E22-900MM22S,Sheet_1,8,NC,,
U45,E22-900MM22S,Sheet_1,9,TXEN,TXEN,TXEN
U45,E22-900MM22S,Sheet_1,10,RXEN,RXEN,RXEN
U45,E22-900MM22S,Sheet_1,11,BUSY,LORA_BUSY,LORA_BUSY
U45,E22-900MM22S,Sheet_1,12,MISO,SPI_MISO,SPI_MISO
U45,E22-900MM22S,Sheet_1,13,MOSI,SPI_MOSI,SPI_MOSI
U45,E22-900MM22S,Sheet_1,14,NSS,LORA_SS,LORA_SS
U45,E22-900MM22S,Sheet_1,15,SCK,SPI_SCK,SPI_SCK
U45,E22-900MM22S,Sheet_1,16,GND,GND,GND
U45,E22-900MM22S,Sheet_1,17,NC,,
U45,E22-900MM22S,Sheet_1,18,DIO3,U45_18,
U45,E22-900MM22S,Sheet_1,19,DIO2,U45_19,
U45,E22-900MM22S,Sheet_1,20,DIO1,DIO1,DIO1
C87,100nF,Sheet_1,2,2,VCC,VCC
C87,100nF,Sheet_1,1,1,GND,GND
D6,SM712,Sheet_1,1,1,B,B
D6,SM712,Sheet_1,3,3,GND,GND
D6,SM712,Sheet_1,2,2,A,A
U47,THVD1410DR,Sheet_1,1,R,RX2,RX2
U47,THVD1410DR,Sheet_1,2,RE#,DIR,DIR
U47,THVD1410DR,Sheet_1,3,DE,DIR,DIR
U47,THVD1410DR,Sheet_1,4,D,TX2,TX2
U47,THVD1410DR,Sheet_1,5,GND,GND,GND
U47,THVD1410DR,Sheet_1,6,A,A,A
U47,THVD1410DR,Sheet_1,7,B,B,B
U47,THVD1410DR,Sheet_1,8,VCC,VCC,VCC
LED1,19-217/BHC-ZL1M2RY/3T,Sheet_1,1,A,VCC,VCC
LED1,19-217/BHC-ZL1M2RY/3T,Sheet_1,2,C,LED1_2,
U48,CH340C,Sheet_1,16,VCC,VCC,VCC
U48,CH340C,Sheet_1,15,R232,U48_15,
U48,CH340C,Sheet_1,14,RTS#,RTS,RTS
U48,CH340C,Sheet_1,13,DTR#,DTR,DTR
U48,CH340C,Sheet_1,12,DCD#,U48_12,
U48,CH340C,Sheet_1,11,RI#,U48_11,
U48,CH340C,Sheet_1,10,DSR#,U48_10,
U48,CH340C,Sheet_1,9,CTS#,U48_9,
U48,CH340C,Sheet_1,8,NC.,,
U48,CH340C,Sheet_1,7,NC.,,
U48,CH340C,Sheet_1,6,D-,D-,D-
U48,CH340C,Sheet_1,5,D+,D+,D+
U48,CH340C,Sheet_1,4,V3,VCC,VCC
U48,CH340C,Sheet_1,3,RXD,U48_3,
U48,CH340C,Sheet_1,2,TXD,RXD,RXD
U48,CH340C,Sheet_1,1,GND,GND,GND
R96,470Ω,Sheet_1,2,2,U48_3,
R96,470Ω,Sheet_1,1,1,TXD,TXD
Q1,UMH3NTN,Sheet_1,1,E1,RTS,RTS
Q1,UMH3NTN,Sheet_1,2,B1,DTR,DTR
Q1,UMH3NTN,Sheet_1,3,C2,IO0,IO0
Q1,UMH3NTN,Sheet_1,4,E2,DTR,DTR
Q1,UMH3NTN,Sheet_1,5,B2,RTS,RTS
Q1,UMH3NTN,Sheet_1,6,C1,RST,RST
USB1,U-D-M5DD-W-1,Sheet_1,1,VBUS,VBUS,VBUS
USB1,U-D-M5DD-W-1,Sheet_1,2,D-,D-,D-
USB1,U-D-M5DD-W-1,Sheet_1,3,D+,D+,D+
USB1,U-D-M5DD-W-1,Sheet_1,4,ID,,
USB1,U-D-M5DD-W-1,Sheet_1,5,GND,GND,GND
USB1,U-D-M5DD-W-1,Sheet_1,6,EP,GND,GND
USB1,U-D-M5DD-W-1,Sheet_1,7,EP,GND,GND
G$1,UFL,Sheet_1,GND1,GND,GND,GND
G$1,UFL,Sheet_1,GND2,GND,GND,GND
G$1,UFL,Sheet_1,SIG,SIG,ANT,ANT
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,41,GND,GND,GND
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,14,IO20,RX2,RX2
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,13,IO19,DIR,DIR
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,12,IO8,SDA,SDA
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,11,IO18,ST_P,ST_P
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,10,IO17,DONE,DONE
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,9,IO16,CLR,CLR
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,8,IO15,EN_BOOST,EN_BOOST
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,7,IO7,U49_7,
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,6,IO6,LED,LED
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,5,IO5,CFG,CFG
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,4,IO4,BATMON,BATMON
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,3,EN,RST,RST
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,2,3V3,VCC,VCC
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,1,GND,GND,GND
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,26,IO45,PDOWN,PDOWN
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,25,IO48,ADC_RST,ADC_RST
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,24,IO47,PG24,PG24
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,23,IO21,TX2,TX2
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,22,IO14,LORA_SS,LORA_SS
U49,ESP32-S3-WROOM-1U-N16R8,Sheet_1,21,IO13,SPI_MISO,SPI_MISO
